game_id,turn,north_view,south_view,east_view,west_view,action,reward
20250418_182411_9199,0,000W,000000W,SS000W,0000W,north,-1
20250418_182411_9199,1,00W,S000000W,00000W,0000W,west,-1
20250418_182411_9199,2,00W,00G0000W,S00000W,000W,south,-1
20250418_182411_9199,3,S00W,0G0000W,000000W,000W,north,-1
20250418_182411_9199,4,SS00W,G0000W,000000W,00GW,north,500
20250418_182411_9199,5,SS000W,0000W,000000W,000W,east,-1
20250418_182411_9199,6,00000W,0000W,00000W,S000W,west,-1
20250418_182411_9199,7,00000W,0000W,0000W,SS000W,west,-1
20250418_182411_9199,8,00000W,0000W,000W,SSS000W,north,-1
20250418_182411_9199,9,0000W,S0000W,00GW,00000GW,south,-1
20250418_182411_9199,10,000W,SS0000W,000W,000000W,east,-1
20250418_182411_9199,11,000W,000000W,00W,S000000W,west,-1
20250418_182411_9199,12,000W,000000W,0W,SS000000W,north,-1
20250418_182411_9199,13,00W,S000000W,0W,00000000W,north,-1
20250418_182411_9199,14,0W,SS000000W,0W,00000000W,south,-1
20250418_182411_9199,15,W,SSS000000W,0W,00000000W,west,-1
20250418_182411_9199,16,W,000000000W,S0W,0000000W,east,-1
20250418_182411_9199,17,W,000000000W,SS0W,000000W,north,-1000
20250418_182414_5811,0,0000W,00000W,SS0000W,000W,west,-1
20250418_182414_5811,1,000GW,00000W,00000W,S000W,west,-1
20250418_182414_5811,2,0000W,00000W,0000W,SS000W,north,-1
20250418_182414_5811,3,000W,S00000W,0000W,00000W,east,-1
20250418_182414_5811,4,000W,000000W,000W,S00000W,east,-1
20250418_182414_5811,5,000W,000000W,00W,SS00000W,east,-1
20250418_182414_5811,6,000W,00000RW,0W,SS000000W,south,-1
20250418_182414_5811,7,S000W,0000RW,0W,00000000W,west,-1
20250418_182414_5811,8,0000W,00000W,S0W,0000000W,east,-1
20250418_182414_5811,9,0000W,00000W,SS0W,000000W,north,-1
20250418_182414_5811,10,000W,S00000W,000W,000000W,west,-1
20250418_182414_5811,11,000W,000000W,S000W,00000W,north,-1
20250418_182414_5811,12,00W,S000000W,0000W,00000W,north,-1
20250418_182414_5811,13,0W,SS000000W,0000W,000G0W,north,-1
20250418_182414_5811,14,W,SS0000000W,0000W,G0000W,south,-1000
20250418_182416_6923,0,00W,SSG0000W,00000W,0000W,south,-1
20250418_182416_6923,1,S00W,0G0000W,00G00W,0000W,south,-1
20250418_182416_6923,2,SS00W,G0000W,00000W,0000W,north,500
20250418_182416_6923,3,SS000W,0000W,00000W,0000W,west,-1
20250418_182416_6923,4,00000W,0000W,S00000W,000W,south,-1
20250418_182416_6923,5,S00000W,000W,000000W,000W,north,-1
20250418_182416_6923,6,SS00000W,00W,000000W,000W,west,-1
20250418_182416_6923,7,0000000W,00W,S000000W,00W,north,-1
20250418_182416_6923,8,000000W,S00W,S000000W,00W,south,-1
20250418_182416_6923,9,00000W,SS00W,0000000W,00W,north,-1
20250418_182416_6923,10,0000W,SSS00W,0000000W,00W,east,-1
20250418_182416_6923,11,0000W,00000W,000000W,S00W,south,-1
20250418_182416_6923,12,S0000W,0000W,000000W,S00W,south,-1
20250418_182416_6923,13,SS0000W,000W,000000W,000W,south,-1
20250418_182416_6923,14,SSS0000W,00W,000000W,000W,west,-1
20250418_182416_6923,15,0000000W,00W,S000000W,00W,south,-1
20250418_182416_6923,16,S0000000W,0W,0000000W,00W,west,-1
20250418_182416_6923,17,00000000W,0W,S0000000W,0W,east,-1
20250418_182416_6923,18,00000000W,0W,SS0000000W,W,south,-1
20250418_182416_6923,19,S00000000W,W,000000R00W,W,north,-1000
20250418_182417_6158,0,0G0000W,000W,SS00000W,00W,east,-1
20250418_182417_6158,1,00000GW,000W,000000W,S00W,north,-1
20250418_182417_6158,2,0000GW,S000W,000000W,000W,west,-1
20250418_182417_6158,3,G0000W,0000W,S000000W,00W,west,-1
20250418_182417_6158,4,00000W,0000W,SS000000W,0W,south,-1
20250418_182417_6158,5,S00000W,000W,00000000W,0W,south,-1
20250418_182417_6158,6,SS00000W,00W,00000000W,0W,west,-1
20250418_182417_6158,7,0000000W,00W,S00000000W,W,west,-1000
20250418_182419_2879,0,R000W,00000W,0000W,SS000W,south,-1
20250418_182419_2879,1,SR000W,0000W,0000W,00000W,south,-1
20250418_182419_2879,2,SSR000W,000W,0000W,00000W,south,-1
20250418_182419_2879,3,SS0R000W,00W,0000W,00000W,west,-1
20250418_182419_2879,4,0000000W,00W,S0000W,0000W,east,-1
20250418_182419_2879,5,000000GW,00W,SS0000W,000W,south,-1
20250418_182419_2879,6,S000000GW,0W,000000W,000W,south,-1
20250418_182419_2879,7,SS000000GW,W,000000W,000W,east,-1
20250418_182419_2879,8,000000000W,W,00000W,S000W,south,-1000
20250418_182420_3033,0,0000W,00000W,SS000W,0000W,south,-1
20250418_182420_3033,1,S0000W,0000W,00000W,0000W,east,-1
20250418_182420_3033,2,00000W,0G00W,0000W,S0000W,south,-1
20250418_182420_3033,3,S00000W,G00W,R000W,00000W,north,500
20250418_182420_3033,4,SS00000W,00W,0000W,00000W,east,-1
20250418_182420_3033,5,R000000W,00W,000W,S00000W,north,-100
20250418_182420_3033,6,000000W,S00W,000W,S00000W,south,-1
20250418_182420_3033,7,R0000W,SS00W,000W,00000GW,east,-1
20250418_182420_3033,8,000G0W,0000W,00W,S00000GW,east,-1
20250418_182420_3033,9,00000W,0000W,0W,SS00000GW,north,-1
20250418_182420_3033,10,0000W,S0000W,0W,0R000000W,east,-1
20250418_182420_3033,11,0000W,00000W,W,S0R000000W,south,-1
20250418_182420_3033,12,S0000W,0000W,W,00000000GW,north,-1
20250418_182420_3033,13,SS0000W,000W,W,000000000W,south,-1
20250418_182420_3033,14,SS00000W,00W,W,000000000W,south,-1
20250418_182420_3033,15,SS000000W,0W,W,000000000W,east,-1000
20250418_182422_5159,0,0000W,SS000W,00000W,0000W,north,-1
20250418_182422_5159,1,S0000W,0000W,00000W,0000W,north,-1
20250418_182422_5159,2,SS0000W,000W,00000W,00G0W,south,-1
20250418_182422_5159,3,SS00000W,00W,00000W,000RW,south,-1
20250418_182422_5159,4,SS000000W,0W,00000W,0000W,south,-1
20250418_182422_5159,5,SS0000000W,W,00000W,0000W,north,-1000
20250418_182423_9666,0,00000W,0000W,SS000W,0000W,east,-1
20250418_182423_9666,1,00000W,0000W,0000W,S0000W,north,-1
20250418_182423_9666,2,0000W,S0000W,0000W,00000W,north,-1
20250418_182423_9666,3,000W,SS0000W,0000W,00000W,east,-1
20250418_182423_9666,4,000W,000000W,000W,S00000W,east,-1
20250418_182423_9666,5,000W,00000RW,00W,SS00000W,south,-1
20250418_182423_9666,6,S000W,0000RW,00W,0000000W,south,-1
20250418_182423_9666,7,SS000W,000RW,00W,0000000W,north,-1
20250418_182423_9666,8,SS0000W,00RW,00W,0000000W,north,-1
20250418_182423_9666,9,SS00000W,0RW,00W,000000GW,east,-1
20250418_182423_9666,10,0000000W,00W,0W,S000000GW,west,-1
20250418_182423_9666,11,0000000W,00W,W,SS000000GW,east,-1000
20250418_182424_3025,0,0000W,0G000W,00W,SS00000W,west,-1
20250418_182424_3025,1,0000W,00000W,S00W,000000W,south,-1
20250418_182424_3025,2,S0000W,0000W,000W,000000W,west,-1
20250418_182424_3025,3,00000W,0000W,S000W,00000W,west,-1
20250418_182424_3025,4,0000RW,0000W,SS000W,0000W,west,-1
20250418_182424_3025,5,00000W,0000W,SS0000W,000W,east,-1
20250418_182424_3025,6,00000W,0000W,SS00000W,00W,south,-1
20250418_182424_3025,7,S00000W,000W,0000G00W,00W,north,-1
20250418_182424_3025,8,SS00000W,00W,0000000W,00W,south,-1
20250418_182424_3025,9,SS000000W,0W,0000000W,00W,north,-1
20250418_182424_3025,10,SS0000000W,W,0000000W,00W,north,-1000
20250418_182426_1416,0,000000W,000W,0000W,SS000W,west,-1
20250418_182426_1416,1,000000W,000W,S0000W,0000W,south,-1
20250418_182426_1416,2,S000000W,00W,00000W,G000W,east,-1
20250418_182426_1416,3,0000000W,00W,0000W,SG000W,west,-1
20250418_182426_1416,4,0000000W,00W,000W,SSG000W,north,-1
20250418_182426_1416,5,000000W,S00W,000W,000000W,south,-1
20250418_182426_1416,6,00000W,SS00W,000W,000000W,south,-1
20250418_182426_1416,7,0000W,SS000W,000W,000000W,east,-1
20250418_182426_1416,8,0000W,00000W,00W,S000000W,south,-1
20250418_182426_1416,9,S0000W,0000W,00W,0000000W,west,-1
20250418_182426_1416,10,00000W,0000W,S00W,000000W,north,-1
20250418_182426_1416,11,0000W,S0000W,000W,000000W,north,-1
20250418_182426_1416,12,000W,SS0000W,000W,000000W,south,-1
20250418_182426_1416,13,00W,SS00000W,000W,000000W,east,-1
20250418_182426_1416,14,00W,0000000W,00W,S000000W,west,-1
20250418_182426_1416,15,00W,0000000W,0W,SS000000W,north,-1
20250418_182426_1416,16,0W,S0000000W,0W,00000000W,north,-1
20250418_182426_1416,17,W,SS0000000W,0W,00000R00W,west,-1
20250418_182426_1416,18,W,000000000W,S0W,0000R00W,south,-1
20250418_182426_1416,19,SW,00000000W,00W,0000000W,west,-1
20250418_182426_1416,20,0W,00000000W,S00W,000000W,north,-1
20250418_182426_1416,21,W,S00000000W,000W,000R00W,east,-1
20250418_182426_1416,22,W,000000000W,00W,S000R00W,south,-1
20250418_182426_1416,23,SW,00000000W,00W,0000000W,east,-1
20250418_182426_1416,24,0W,00000000W,0W,S0000000W,north,-1
20250418_182426_1416,25,W,S00000000W,0W,00000R00W,west,-1
20250418_182426_1416,26,W,000000000W,S0W,0000R00W,west,-1
20250418_182426_1416,27,W,000000000W,SS0W,000R00W,east,-1
20250418_182426_1416,28,W,000000000W,SS00W,00R00W,east,-1
20250418_182426_1416,29,W,000000000W,SS000W,0R00W,west,-1
20250418_182426_1416,30,W,000000G00W,SS0000W,R00W,south,-1
20250418_182426_1416,31,SW,00000G00W,000000W,000W,west,-1
20250418_182426_1416,32,RW,00000000W,S000000W,00W,south,-1
20250418_182426_1416,33,SRW,0000000W,0000000W,00W,south,-1
20250418_182426_1416,34,SSRW,000000W,0000000W,00W,south,-1
20250418_182426_1416,35,SS0RW,00000W,0000000W,00W,east,-1
20250418_182426_1416,36,0000W,00G00W,000000W,S00W,south,-1
20250418_182426_1416,37,S0000W,0G00W,000000W,000W,west,-1
20250418_182426_1416,38,0000RW,0000W,S000000W,00W,north,-1
20250418_182426_1416,39,000RW,S0000W,0000000W,00W,south,-1
20250418_182426_1416,40,00RW,SS0000W,0000000W,00W,north,-1
20250418_182426_1416,41,0RW,SS00000W,0000000W,00W,west,-1
20250418_182426_1416,42,00W,0000000W,S0000000W,0W,east,-1
20250418_182426_1416,43,00W,0000000W,SS0000000W,W,south,-1
20250418_182426_1416,44,S00W,000000W,000000000W,W,west,-1000
20250418_182429_7854,0,000R00W,000W,00W,SS00000W,west,-1
20250418_182429_7854,1,000000W,000W,S00W,000000W,south,-1
20250418_182429_7854,2,S000000W,00W,000W,000000W,north,-1
20250418_182429_7854,3,SS000000W,0W,000W,000000W,north,-1
20250418_182429_7854,4,SS0000000W,W,000W,0000G0W,east,-1
20250418_182429_7854,5,000000R00W,W,00W,S0000G0W,east,-1
20250418_182429_7854,6,000000000W,W,0W,SS0000G0W,north,-1
20250418_182429_7854,7,00000000W,SW,0W,00000000W,north,-1
20250418_182429_7854,8,0000000W,SSW,0W,00000000W,south,-1
20250418_182429_7854,9,000000W,SS0W,0W,00000000W,north,-1
20250418_182429_7854,10,00000W,SS00W,0W,00000000W,north,-1
20250418_182429_7854,11,0000W,SS000W,0W,00000000W,west,-1
20250418_182429_7854,12,0R00W,00000W,S0W,0000000W,east,-1
20250418_182429_7854,13,0000W,00000W,SS0W,000000W,west,-1
20250418_182429_7854,14,G000W,00000W,SS00W,00000W,north,500
20250418_182429_7854,15,000W,S00000W,0000W,00000W,north,-1
20250418_182429_7854,16,00W,SS00000W,0R00W,00000W,east,-1
20250418_182429_7854,17,00W,0000000W,R00W,S00000W,north,-1
20250418_182429_7854,18,0W,S0000000W,000W,000000W,west,-1
20250418_182429_7854,19,0W,S0000000W,S000W,00000W,south,-1
20250418_182429_7854,20,S0W,0000000W,SR00W,00000W,west,-1
20250418_182429_7854,21,00W,0000000W,S0R00W,0000W,north,-1
20250418_182429_7854,22,0W,S0000000W,S0000W,0000W,north,-1
20250418_182429_7854,23,W,SS0000000W,00000W,0000W,south,-1000
