game_id,turn,north_view,south_view,east_view,west_view,action,reward
20250419_064739_9219,0,000W,00000GW,SS00000W,R0W,west,-1
20250419_064739_9219,1,000W,000000W,000000W,SR0W,west,-1
20250419_064739_9219,2,000W,00000GW,00000W,SSR0W,east,-1
20250419_064739_9219,3,000W,000000W,0000W,SS0R0W,east,-1
20250419_064739_9219,4,000W,000000W,000W,SS00R0W,south,-1
20250419_064739_9219,5,S000W,00000W,000W,000000W,east,-1
20250419_064739_9219,6,0000W,00000W,00W,S000000W,west,-1
20250419_064739_9219,7,0000W,00000W,0W,SS000000W,west,-1
20250419_064739_9219,8,0000W,00000W,W,SS0000000W,north,-1
20250419_064739_9219,9,000W,S00000W,W,0000000R0W,east,-1000
20250419_064741_1246,0,0000W,SS000W,000W,000000W,south,-1
20250419_064741_1246,1,S0000W,0000W,000W,000000W,west,-1
20250419_064741_1246,2,00000W,0000W,S000W,00000W,east,-1
20250419_064741_1246,3,00000W,000GW,SS000W,0000W,west,-1
20250419_064741_1246,4,00000W,0000W,SS0000W,000W,south,-1
20250419_064741_1246,5,S00000W,000W,000000W,000W,south,-1
20250419_064741_1246,6,SS00000W,00W,000000W,000W,south,-1
20250419_064741_1246,7,SS000000W,0W,000000W,000W,west,-1
20250419_064741_1246,8,0000000RW,0W,S000000W,00W,east,-1
20250419_064741_1246,9,00000000W,0W,SS000000W,0W,north,-1
20250419_064741_1246,10,0000000W,S0W,00000000W,0W,east,-1
20250419_064741_1246,11,000000RW,00W,0000000W,S0W,south,-1
20250419_064741_1246,12,S000000RW,0W,0000000W,00W,north,-1
20250419_064741_1246,13,SS000000RW,W,0G00000W,0GW,west,-1
20250419_064741_1246,14,000000000W,W,S0G00000W,GW,north,-1
20250419_064741_1246,15,00000000W,SW,00000000W,0W,south,-1
20250419_064741_1246,16,0000000W,SSW,00000000W,0W,west,-1
20250419_064741_1246,17,0000000W,0GW,S00000000W,W,east,-1000
20250419_064743_9038,0,000W,SS0000W,00000W,0000W,west,-1
20250419_064743_9038,1,000W,000R00W,S00000W,000W,south,-1
20250419_064743_9038,2,S000W,00R00W,000000W,000W,south,-1
20250419_064743_9038,3,SS000W,0R00W,000000W,000W,north,-1
20250419_064743_9038,4,SS0000W,R00W,000000W,000W,east,-1
20250419_064743_9038,5,000000W,000W,00000W,S000W,south,-1
20250419_064743_9038,6,S000000W,00W,00000W,R000W,north,-1
20250419_064743_9038,7,SS000000W,0W,00000W,0000W,north,-1
20250419_064743_9038,8,SS0000000W,W,00000W,00G0W,west,-1
20250419_064743_9038,9,0R0000000W,W,S00000W,0G0W,east,-1
20250419_064743_9038,10,000000000W,W,SS00000W,G0W,west,500
20250419_064743_9038,11,000000000W,W,SS000000W,0W,south,-1000
20250419_064745_8871,0,000W,000000W,000W,SS0000W,north,-1
20250419_064745_8871,1,00W,S000000W,000W,00000GW,south,-1
20250419_064745_8871,2,0W,SS000000W,000W,000000W,west,-1
20250419_064745_8871,3,0W,00000000W,S000W,00000W,south,-1
20250419_064745_8871,4,S0W,0000000W,0000W,0000GW,east,-1
20250419_064745_8871,5,00W,0000000W,000W,S0000GW,east,-1
20250419_064745_8871,6,00W,0000000W,00W,SS0000GW,west,-1
20250419_064745_8871,7,00W,0000G00W,0W,SS00000GW,north,-1
20250419_064745_8871,8,0W,S0000G00W,0W,00000000W,west,-1
20250419_064745_8871,9,0W,00000000W,S0W,0000000W,east,-1
20250419_064745_8871,10,0W,00000000W,SS0W,000000W,north,-1
20250419_064745_8871,11,W,S00000000W,000W,000000W,west,-1
20250419_064745_8871,12,W,000000000W,S000W,00000W,north,-1000
20250419_064747_9001,0,0W,SS000000W,000000W,000W,east,-1
20250419_064747_9001,1,0W,00000000W,00000W,S000W,east,-1
20250419_064747_9001,2,0W,00R00000W,0000W,SS000W,north,-1
20250419_064747_9001,3,W,S00R00000W,0000W,00000W,east,-1
20250419_064747_9001,4,W,000G00G00W,000W,S00000W,south,-1
20250419_064747_9001,5,SW,00G00G00W,000W,000000W,west,-1
20250419_064747_9001,6,0W,00R00000W,S000W,00000W,east,-1
20250419_064747_9001,7,0W,00000000W,SS000W,0000W,west,-1
20250419_064747_9001,8,0W,00000000W,SS0000W,000W,north,-1
20250419_064747_9001,9,W,S00000000W,000000W,000W,north,-1000
20250419_064749_8804,0,0000W,00000W,SS000000W,0W,south,-1
20250419_064749_8804,1,S0000W,0000W,00000000W,0W,south,-1
20250419_064749_8804,2,SS0000W,000W,00000000W,0W,south,-1
20250419_064749_8804,3,SS00000W,00W,00000000W,0W,west,-1
20250419_064749_8804,4,0000000W,00W,S00000000W,W,south,-1
20250419_064749_8804,5,S0000000W,0W,000000000W,W,north,-1
20250419_064749_8804,6,SS0000000W,W,000000000W,W,east,-1
20250419_064749_8804,7,000000000W,W,00000000W,SW,south,-1000
20250419_064750_8562,0,00W,SS00G00W,000000W,G00W,south,-1
20250419_064750_8562,1,S00W,000G00W,000000W,000W,north,-1
20250419_064750_8562,2,SS00W,00G00W,000000W,000W,south,-1
20250419_064750_8562,3,SS000W,0G00W,000000W,000W,north,-1
20250419_064750_8562,4,SS0000W,G00W,R00000W,000W,west,-1
20250419_064750_8562,5,000G00W,000W,SR00000W,00W,north,-1
20250419_064750_8562,6,00G00W,S000W,0000000W,00W,west,-1
20250419_064750_8562,7,00000W,0000W,S0000000W,0W,east,-1
20250419_064750_8562,8,00000W,0000W,SS0000000W,W,east,-1000
20250419_064752_9753,0,00000W,0000W,SS000000W,0W,north,-1
20250419_064752_9753,1,0000W,S0000W,00000000W,0W,south,-1
20250419_064752_9753,2,000W,SS0000W,00000000W,0W,west,-1
20250419_064752_9753,3,000W,000000W,S00000000W,W,north,-1
20250419_064752_9753,4,00W,S000000W,000000000W,W,west,-1000
20250419_064753_4857,0,0000W,00000W,00W,SS00000W,south,-1
20250419_064753_4857,1,S0000W,0000W,00W,0000000W,north,-1
20250419_064753_4857,2,SS0000W,000W,00W,0000000W,west,-1
20250419_064753_4857,3,000000W,000W,S00W,000000W,south,-1
20250419_064753_4857,4,S000000W,00W,000W,0G0000W,north,-1
20250419_064753_4857,5,SS000000W,0W,000W,000000W,north,-1
20250419_064753_4857,6,SS0000000W,W,000W,000000W,south,-1000
20250419_064755_2752,0,000W,SS0000W,00000W,0000W,north,-1
20250419_064755_2752,1,S000W,00000W,00000W,000GW,east,-1
20250419_064755_2752,2,0000W,00000W,0000W,S000GW,east,-1
20250419_064755_2752,3,0000W,0R000W,000W,SS000GW,east,-1
20250419_064755_2752,4,0000W,00000W,00W,SS0000GW,north,-1
20250419_064755_2752,5,000W,S00000W,00W,0000000W,north,-1
20250419_064755_2752,6,00W,SS00000W,00W,0000000W,east,-1
20250419_064755_2752,7,00W,0000000W,0W,S0000000W,north,-1
20250419_064755_2752,8,0W,S0000000W,0W,00000000W,north,-1
20250419_064755_2752,9,W,SS0000000W,0W,00000000W,west,-1
20250419_064755_2752,10,W,000000000W,S0W,0000000W,south,-1
20250419_064755_2752,11,SW,00000000W,00W,0000000W,west,-1
20250419_064755_2752,12,0W,0000R000W,S00W,000000W,east,-1
20250419_064755_2752,13,0W,00000000W,SS00W,00000W,west,-1
20250419_064755_2752,14,0W,00000000W,SS000W,0000W,south,-1
20250419_064755_2752,15,S0W,0000000W,00000W,0000W,east,-1
20250419_064755_2752,16,00W,0000000W,0000W,S0000W,west,-1
20250419_064755_2752,17,00W,000R000W,000W,SS0000W,south,-1
20250419_064755_2752,18,S00W,00R000W,000W,000000W,east,-1
20250419_064755_2752,19,000W,000000W,00W,S000000W,south,-1
20250419_064755_2752,20,S000W,00000W,00W,000000GW,west,-1
20250419_064755_2752,21,0000W,0R000W,S00W,00000GW,south,-1
20250419_064755_2752,22,S0000W,R000W,000W,000000W,west,-1
20250419_064755_2752,23,00000W,0000W,S000W,00000W,south,-1
20250419_064755_2752,24,S00000W,000W,R000W,00000W,west,-1
20250419_064755_2752,25,000000W,000W,SR000W,0000W,east,-1
20250419_064755_2752,26,000000W,000W,SSR000W,000W,west,-1
20250419_064755_2752,27,000000W,00GW,SS0R000W,00W,east,-1
20250419_064755_2752,28,000000W,000W,SS00R000W,0W,north,-1
20250419_064755_2752,29,00000W,S000W,00000000W,0W,north,-1
20250419_064755_2752,30,0000W,SS000W,00000000W,GW,east,-1
20250419_064755_2752,31,0000W,0000GW,0000000W,SGW,south,-1
20250419_064755_2752,32,S0000W,000GW,0000000W,00W,west,-1
20250419_064755_2752,33,00000W,0000W,S0000000W,0W,east,-1
20250419_064755_2752,34,G0000W,0000W,SS0000000W,W,north,500
20250419_064755_2752,35,0000W,S0000W,000000000W,W,west,-1000
20250419_064759_2859,0,000W,SS0000W,R0000W,0000W,north,-1
20250419_064759_2859,1,S000W,00000W,00000W,0G00W,south,-1
20250419_064759_2859,2,SS000W,0000W,00000W,0000W,north,-1
20250419_064759_2859,3,SS0000W,000W,00000W,0000W,east,-1
20250419_064759_2859,4,00R000W,000W,0000W,S0000W,east,-1
20250419_064759_2859,5,000000W,000W,000W,SS0000W,north,-1
