game_id,turn,north_view,south_view,east_view,west_view,action,reward
20250419_090346_5050,0,0000W,00000W,0W,SS000000W,north,-1
20250419_090346_5050,1,000W,S00000W,0W,00000000W,south,-1
20250419_090346_5050,2,00W,SS00000W,0W,00000000W,east,-1
20250419_090346_5050,3,00W,00000G0W,W,S00000000W,east,-1000
20250419_090348_4198,0,000W,000000W,0W,SS000000W,north,-1
20250419_090348_4198,1,00W,S000000W,0W,00000000W,north,-1
20250419_090348_4198,2,0W,SS000000W,0W,00G00000W,north,-1
20250419_090348_4198,3,W,SS0000000W,0W,00000000W,south,-1000
20250419_090349_8638,0,00W,SS0G000W,00000W,000RW,north,-1
20250419_090349_8638,1,S00W,00G000W,00000W,0000W,west,-1
20250419_090349_8638,2,000W,000000W,S00000W,000W,west,-1
20250419_090349_8638,3,000W,000000W,SS00000W,00W,north,-1
20250419_090349_8638,4,00W,S000000W,0000000W,0RW,south,-1
20250419_090349_8638,5,0W,SS000000W,00000G0W,00W,south,-1
20250419_090349_8638,6,W,SS0000000W,0000000W,00W,south,-1000
20250419_090350_9963,0,00000W,0000W,SS0000GW,00W,west,-1
20250419_090350_9963,1,00000W,0000W,00000GW,S00W,north,-1
20250419_090350_9963,2,0000W,S0000W,000000W,000W,east,-1
20250419_090350_9963,3,0000W,00000W,00000W,S000W,west,-1
20250419_090350_9963,4,0000W,00000W,0000W,SS000W,west,-1
20250419_090350_9963,5,0000W,00R00W,000W,SS0000W,north,-1
20250419_090350_9963,6,000W,S00R00W,000W,000000W,south,-1
20250419_090350_9963,7,00W,SS00R00W,000W,000000W,east,-1
20250419_090350_9963,8,00W,0000000W,00W,S000000W,west,-1
20250419_090350_9963,9,00W,0000000W,0W,SS000000W,north,-1
20250419_090350_9963,10,0W,S0000000W,0W,00000000W,west,-1
20250419_090350_9963,11,0W,00000000W,S0W,0000000W,west,-1
20250419_090350_9963,12,0W,00000R00W,SS0W,000000W,west,-1
20250419_090350_9963,13,0W,00000000W,SS00W,00000W,north,-1
