game_id,turn,north_view,south_view,east_view,west_view,action,reward
20250417_080436_4868,0,00000W,0000W,0000W,SS000W,east,-1
20250417_080436_4868,1,00000W,0000W,S0000W,0000W,east,-1
20250417_080436_4868,2,00000W,000GW,SS0000W,000W,east,-1
20250417_080436_4868,3,00000W,0000W,SS00000W,00W,east,-1
20250417_080436_4868,4,00000W,000GW,SS000000W,0W,east,-1
20250417_080436_4868,5,00000W,0000W,SS0000000W,W,east,-1000
20250417_121943_5891,0,0000W,00000W,SS000W,0000W,east,-1
20250417_121943_5891,1,0000W,00000W,0000W,S0000W,east,-1
20250417_121943_5891,2,0000W,00000W,000W,SS0000W,north,-1
20250417_121943_5891,3,000W,S00000W,0G0W,000R00W,south,-1
20250417_121943_5891,4,00W,SS00000W,000W,000000W,east,-1
20250417_121943_5891,5,00W,0000000W,00W,S000000W,south,-1
20250417_121943_5891,6,S00W,000000W,G0W,0000R00W,east,500
20250417_121943_5891,7,000W,000000W,0W,S0000R00W,north,-1
20250417_121943_5891,8,00W,S000000W,0W,S0000000W,east,-1
20250417_121943_5891,9,00W,0000000W,W,S00000000W,north,-1
20250417_121943_5891,10,0W,S0000000W,W,00000G000W,west,-1
20250417_121943_5891,11,0W,S0000000W,SW,0000G000W,south,-1
20250417_121943_5891,12,S0W,0000000W,SW,00000000W,west,-1
20250417_121943_5891,13,00W,0000000W,S0W,0000000W,west,-1
20250417_121943_5891,14,00W,0000000W,SS0W,000000W,east,-1
20250417_121943_5891,15,00W,0000000W,SSS0W,00000W,east,-1
20250417_121943_5891,16,00W,0000000W,SSS00W,0000W,west,-1
20250417_121943_5891,17,G0W,0000000W,SSS000W,000W,east,-1
20250417_121943_5891,18,00W,R00000GW,SSS0000W,00W,south,-100
20250417_121943_5891,19,S00W,00000GW,0000000W,00W,north,-1
20250417_121943_5891,20,SS00W,0000GW,0000000W,00W,east,-1
20250417_121943_5891,21,00G0W,00000W,000000W,S00W,north,-1
20250417_121943_5891,22,0G0W,S00000W,000000W,000W,north,-1
20250417_121943_5891,23,G0W,SS00000W,0000R0W,000W,south,500
20250417_121943_5891,24,0W,SS000000W,000000W,000W,south,-1
20250417_121943_5891,25,W,SSS000000W,000000W,000W,west,-1
20250417_121943_5891,26,W,00000000GW,S000000W,00W,north,-1000
20250417_121948_3888,0,0000W,SS000W,00000W,0000W,east,-1
20250417_121948_3888,1,0000W,00000W,0000W,S0000W,west,-1
20250417_121948_3888,2,00R0W,00000W,000W,SS0000W,west,-1
20250417_121948_3888,3,0000W,00000W,00W,SS00000W,south,-1
20250417_121948_3888,4,S0000W,0000W,00W,0000000W,south,-1
20250417_121948_3888,5,SS0000W,000W,00W,0000000W,east,-1
20250417_121948_3888,6,000000W,G00W,0W,S0000000W,west,-1
20250417_121948_3888,7,000000W,000W,W,SS0000000W,south,-1
20250417_121948_3888,8,S000000W,00W,W,G00000000W,west,500
20250417_121948_3888,9,0000000W,00W,SW,00000000W,south,-1
20250417_121948_3888,10,S0000000W,0W,0W,00000000W,east,-1
20250417_121948_3888,11,S0000000W,0W,W,S00000000W,east,-1000
20250417_121950_9474,0,00000GW,000W,00W,SS00000W,east,-1
20250417_121950_9474,1,000000W,000W,S00W,000000W,north,-1
20250417_121950_9474,2,00000W,S000W,000W,000000W,east,-1
20250417_121950_9474,3,0000GW,0000W,00W,S000000W,east,-1
20250417_121950_9474,4,00000W,0000W,0W,SS000000W,north,-1
20250417_121950_9474,5,0000W,S0000W,0W,00000000W,east,-1
20250417_121950_9474,6,0000W,00000W,W,S00000000W,west,-1000
20250417_121952_2393,0,000W,00R000W,000W,SS0000W,south,-1
20250417_121952_2393,1,S000W,0R000W,000W,000000W,west,-1
20250417_121952_2393,2,0000W,G0000W,S000W,00000W,west,-1
20250417_121952_2393,3,0000W,00000W,SS000W,0000W,east,-1
20250417_121952_2393,4,0000W,00000W,SS0000W,000W,north,-1
20250417_121952_2393,5,000W,S00000W,000000W,000W,east,-1
20250417_121952_2393,6,000W,000000W,00000W,S000W,south,-1
20250417_121952_2393,7,S000W,00000W,00000W,0000W,east,-1
20250417_121952_2393,8,0000W,G0000W,0000W,S0000W,east,-1
20250417_121952_2393,9,0000W,0R000W,000W,SS0000W,south,-1
20250417_121952_2393,10,S0000W,R000W,000W,G00000W,east,-1
20250417_121952_2393,11,00000W,0000W,00W,SG00000W,south,-1
20250417_121952_2393,12,S00000W,000W,00W,R000000W,west,-100
20250417_121952_2393,13,000000W,000W,S00W,000000W,west,-1
20250417_121952_2393,14,G000R0W,000W,S000W,00000W,north,500
